category,text_cleaned_string
negative,involuntarily bumped passenger cant guarantee another flight three days
neutral,yeah suppose
negative,ick yo autocorrect ruse
positive,ill drinks anybody pull boy named sue johnnie cash
neutral,warned consuela gets quincenera emoji tasha better get juke session emoji
positive,finished toking marktweeps sorry corny updates coming dos wer conversationhehe
neutral,flying stl saturday expecting ice amp snow start looking travel waivers thanks
positive,friend asked best man guess means trip twin falls id next year responsibilities best man
neutral,fml ran mile got scraped yearbook got math test eff today
positive,determined get back baseball years since ive really watched sport anyone interested going game
positive,carlis friend
neutral,done
neutral,received gotta wait approve app
neutral,maybe tonights night pick
negative,tell chris stop making fun lizzie
positive,checked del`s new blogsite yahoo im excited bring go del
neutral,u add ur link can`t find u youtube
negative,thanks cancelled flighting flight bos stranded den til wed night us never fly southwest
negative,_houdin blind faith thats crackup
positive,love hat cool looks like fun day love used word crikey
negative,rain aaaaaaaaaahhhhhhhh i`m gonna melt it`s cold freakin cold brrrrrr
positive,glad ive cleared thesis two chapters go first final draft submitted
positive,guys aren`t comet hope win though
neutral,tips someone made flight control
positive,sorry spam would awesome see vegas help would absolutely amazing
neutral,obviously havent seen mrs first thing morning
negative,chin leo crying
negative,please hire efficiency consultant manage phx baggage checkin way many open kiosks ppl waiting
negative,head hurts bad could scream
negative,need get cousin pdx shes days travel weve hire sitters til arrives thx
negative,stranding customers reflight booking problems answering phone way treat platinum members
positive,awesome love show didnt see record ill probably watch little bit ryans cute
positive,probable bed time hugs kisses
positive,eating mummys sheppards pie
negative,girl unhappy thats wa ropiwa sandton unnecessarily expensive try salons braam
negative,big surprise nogate waiting plane fucken issues everything fly fail worstairlineever
negative,kk sum reason lettin vote
neutral,mom said
positive,heard one songs amazing voice stunned
negative,according flight attendant husband doesnt talk english fact understand talks
negative,dont think im pretty enough unhappy
negative,genevaaa picture isnt showing dont think im right
neutral,industrialists asked question
positive,sixth spot applicable team higher pa kisses thefashionicon
positive,follow us know want big news soon hopefully bearded band member blow melol ryan xoxo
positive,hahaokay
positive,nice hair nowhere go
neutral,need talk vent let know
negative,made costa rica back missing already pura vida
neutral,starting day little northern light
neutral,would like receive offers
negative,listens msi bakes banana bread weird remarkably much anymore
negative,well drop luggage hours flight ridiculous
positive,frosted wheats milk midnight snack
negative,ummm didnt work guess im stuck uglyonee
negative,omg didnt tweet much today sadness
neutral,usually dobut didnt make flight booking problems timethatll teach yea going least haha
neutral,guys make
neutral,oh poor atleast get paid staying back
negative,thanks generic computer generated response accommodate travelers instead saying sorry
neutral,weren`t shelby twp
positive,course look back think quoti glad spent hours day roomquot
negative,trouble don`t try one companys buys house
negative,fever
negative,first class snack basket catered drinks preflight drink coathanging st drink service min take
negative,us flight trying get tel aviv trying take right us cruel next flight pm
negative,far worst airline plane delays round trip flight possible
negative,miss newest version glade debian
positive,yay thanks appreciate help know nuts right cold ice
neutral,newark
negative,customer service joke first mechanical cancelled flightation weather hold since humans pls call
neutral,that`s supposed sometimes get busy recognize always family god
neutral,booked ewrfll first two lets see compare garbage first class become
negative,lame right u know dates you`ll cali
negative,tried rebook online says pay difference price please help
neutral,new ceo seeks right balance please passengers wall daily journal
negative,stupid folkestone cinema showing star trek times
negative,studio ft one outlet computers need batteries future
neutral,peter bar owner working way beersall belgian coffin drinkers mort subite
negative,hates putting new contacts
neutral,bit motorcycle trip today
positive,finished baking cinnamon rolls soooo yummy
neutral,fine ill get miso soup street
negative,ian going matinee tomorrow that`s plan leastit`s going expensive night
positive,bought new reads ten commandments business failure softies new friends sew crochet
neutral,concern cancelled flightled flights due cold weather nj saturday cancelled flight degrees
positive,followed messaged thanks much help
negative,link doesnt work mobile
positive,im happy im going c lil cuzons right feel like tht
negative,alas can`t broadcast lunches bandwidth rooms
negative,still asleep ahhh wtf
negative,new voice textinghow hit dial insteadwhataconcept say appleaid
positive,goodmorning
neutral,remember take challenge
neutral,supposed go boatingsongwriting cape cod cold rainy
positive,happy mothers day mom
positive,new motorcycle popped cable already wowyou ride hard
neutral,hermits like stay
positive,aww cutie
negative,hate traffic dallas nothing traffic
neutral,current promotionscodes nashvilledenver thank
negative,drinking smoking badbut im grown tho
negative,relate frustrationi ruined wp blog many times updatesthey warn timesback ^
neutral,want get super pretty want cig
negative,yeah expecting hours
negative,hate young
negative,_hay twitter happiness score swp think dropped point since yesterday
positive,nvidia ionbased lenovo ideapad awesome fn key left ctrl makes nonstarter though
positive,passing early river sounds amazing cozy bed cozy dogs
neutral,polling underway assembly seats spread across districts phaseiii
